Timestamp	Source IP	Source Port	Destination IP	Destination Port	Sequence Number	Acknowledgement Number	Length	Flags	Window	Checksum	Data
1731499205050	localhost	9999	localhost	8888	1	1	25	ACK 	1440	0x73b1	68 68 68 68 68 
1731499205050	localhost	8888	localhost	9999	1	6	20	ACK 	1440	0x44ea	
1731499205050	localhost	9999	localhost	8888	6	1	25	ACK 	1440	0x6eb1	68 68 68 68 68 
1731499205050	localhost	8888	localhost	9999	1	11	20	ACK 	1440	0x3fea	
1731499205050	localhost	9999	localhost	8888	11	1	25	ACK 	1440	0x69b1	68 68 68 68 68 
1731499205050	localhost	8888	localhost	9999	1	16	20	ACK 	1440	0x3aea	
1731499205050	localhost	9999	localhost	8888	16	1	25	ACK 	1440	0x64b1	68 68 68 68 68 
1731499205050	localhost	8888	localhost	9999	1	21	20	ACK 	1440	0x35ea	
1731499205051	localhost	9999	localhost	8888	21	1	25	ACK 	1440	0x5fb1	68 68 68 68 68 
1731499205051	localhost	8888	localhost	9999	1	26	20	ACK 	1440	0x30ea	
1731499205051	localhost	9999	localhost	8888	26	1	25	ACK 	1440	0x5ab1	68 68 68 68 68 
1731499205051	localhost	8888	localhost	9999	1	31	20	ACK 	1440	0x2bea	
1731499205051	localhost	9999	localhost	8888	31	1	25	ACK 	1440	0x55b1	68 68 68 68 68 
1731499205051	localhost	8888	localhost	9999	1	36	20	ACK 	1440	0x26ea	
1731499205051	localhost	9999	localhost	8888	36	1	25	ACK 	1440	0x50b1	68 68 68 68 68 
1731499205051	localhost	8888	localhost	9999	1	41	20	ACK 	1440	0x21ea	
1731499205051	localhost	9999	localhost	8888	41	1	25	ACK 	1440	0x4bb1	68 68 68 68 68 
1731499205051	localhost	8888	localhost	9999	1	46	20	ACK 	1440	0x1cea	
1731499205051	localhost	9999	localhost	8888	46	1	25	ACK 	1440	0x46b1	68 68 68 68 68 
1731499205051	localhost	8888	localhost	9999	1	51	20	ACK 	1440	0x17ea	
1731499205051	localhost	9999	localhost	8888	51	1	25	ACK 	1440	0x41b1	68 68 68 68 68 
1731499205051	localhost	8888	localhost	9999	1	56	20	ACK 	1440	0x12ea	
1731499205052	localhost	9999	localhost	8888	46	1	25	ACK 	1440	0x46b1	68 68 68 68 68 
1731499205052	localhost	8888	localhost	9999	1	51	20	ACK 	1440	0x17ea	
1731499205054	localhost	9999	localhost	8888	71	1	25	ACK 	1440	0x2db1	68 68 68 68 68 
1731499205054	localhost	8888	localhost	9999	1	76	20	ACK 	1440	0xfee9	
1731499205081	localhost	9999	localhost	8888	56	1	25	ACK 	1440	0x3cb1	68 68 68 68 68 
1731499205081	localhost	8888	localhost	9999	1	61	20	ACK 	1440	0xdea	
1731499205081	localhost	9999	localhost	8888	61	1	25	ACK 	1440	0x37b1	68 68 68 68 68 
1731499205081	localhost	8888	localhost	9999	1	66	20	ACK 	1440	0x8ea	
1731499205081	localhost	9999	localhost	8888	66	1	25	ACK 	1440	0x32b1	68 68 68 68 68 
1731499205081	localhost	8888	localhost	9999	1	71	20	ACK 	1440	0x3ea	
1731499205081	localhost	9999	localhost	8888	76	1	22	ACK 	1440	0xf281	68 0a 
1731499205081	localhost	8888	localhost	9999	1	78	20	ACK 	1440	0xfce9	
1731499310977	localhost	9999	localhost	8888	78	1	20	ACK FIN 	1440	0xfce8	
1731499310977	localhost	8888	localhost	9999	1	78	20	ACK 	1440	0xfce9	
